C,Mn,S,P,Si,Ni,Cr,Cu,Ti,Co,N,Pb,Sn,Al,B,V,Ca,Nb,CAPL MAIN DEFECT
78,3200,10,320,4900,1500,113000,600,2200,300,76,33,30,160,5,290,4,30,Spinel Inclusion
77,2900,20,320,4500,1400,113300,1000,2200,400,77,23,58,316,3,260,5,30,Spinel Inclusion
80,3400,20,300,4400,700,112200,400,2350,300,98,28,38,230,3,260,8,60,HOLE
67,2400,20,320,4900,1600,113300,1000,2200,300,68,48,100,345,3,280,10,30,Spinel Inclusion
79,2700,20,290,4600,1200,113900,800,2300,300,80,35,74,450,5,280,8,20,Casting Powder Inclusion
70,3300,30,360,3600,1800,179000,800,1500,500,105,42,98,242,3,420,10,3800,Inclusion Free
100,2600,20,360,3700,1400,172200,600,3200,500,110,35,53,375,3,570,10,20,Inclusion Free
85,3200,20,330,2700,1800,171000,800,3500,500,116,39,87,235,2,400,21,40,SLIVER C-BODY
77,3400,17,350,4500,1800,172000,1300,2900,600,90,40,80,230,18,540,8,200,Inclusion Free
79,2600,20,340,4900,1200,112400,700,2300,200,92,36,58,550,5,300,10,30,Spinel Inclusion
90,3500,20,330,4500,1700,113800,1100,2300,300,77,44,73,300,6,290,9,20,Casting Powder Inclusion
90,2700,10,310,4500,1600,173300,400,2800,400,105,55,58,269,3,400,8,200,Spinel Inclusion
80,3900,15,350,4400,2400,113000,1500,2200,400,79,36,143,296,7,430,7,30,Spinel Inclusion
75,3500,20,320,5300,1300,173200,600,3200,500,102,34,51,340,3,520,7,30,Inclusion Free
70,4000,18,310,4300,1200,112500,700,2350,300,77,37,43,460,4,400,8,110,Casting Powder Inclusion
87,2500,10,360,4300,1600,172900,700,3100,500,109,42,103,331,2,520,7,30,Inclusion Free
85,3300,30,350,2800,1700,173500,400,2850,400,125,41,50,200,3,390,22,20,SLIVER C-BODY
95,3500,18,330,4300,1700,171500,1200,3100,400,92,40,81,355,25,540,11,40,SLIVER C-BODY
80,3100,20,350,4900,1400,112100,800,2450,300,75,31,60,295,5,260,10,40,Spinel Inclusion
90,3500,18,310,2300,2200,172800,700,3400,500,146,57,88,330,3,370,10,40,Spinel Inclusion
62,3000,14,320,4000,1700,172300,400,2850,400,100,43,67,330,13,540,10,30,Inclusion Free
100,2700,13,340,3300,2000,171700,500,3100,400,106,48,116,282,5,410,10,30,Inclusion Free
90,3500,10,370,4200,2000,181000,1000,1500,500,125,41,85,250,4,400,8,3600,Inclusion Free
75,3200,25,330,2700,2000,173500,700,3500,400,94,55,119,400,3,420,4,20,Inclusion Free
75,3000,28,320,2900,2000,172200,800,3050,400,98,51,90,320,3,440,10,20,Inclusion Free
76,2400,20,330,4700,1300,112600,900,2150,400,86,20,64,260,3,330,6,40,SLIVER C-BODY
77,2700,10,350,4200,1900,112500,1200,2400,300,94,30,98,310,4,270,6,20,Spinel Inclusion
80,3400,20,300,4400,1000,113000,1400,2400,300,76,26,58,250,2,300,10,30,Spinel Inclusion
85,3000,10,330,4500,800,112500,1000,2500,300,138,46,90,375,3,250,10,20,SLIVER C-BODY
69,2200,15,300,4300,1400,112400,900,2500,300,99,41,60,465,5,320,9,30,Spinel Inclusion
78,3100,20,350,4300,1500,112000,1600,2350,300,77,39,154,390,5,390,10,20,Inclusion Free
80,2800,10,330,2800,1400,173400,100,2800,500,116,45,34,280,2,480,10,50,Spinel Inclusion
70,2800,20,340,5500,1500,171500,900,2700,500,95,38,71,210,6,560,10,30,Inclusion Free
70,2800,20,320,5000,900,111500,500,2200,400,74,19,39,215,3,260,5,20,Spinel Inclusion
97,2500,22,340,4500,2000,173000,500,3100,400,115,46,64,225,5,410,10,20,Inclusion Free
85,3400,15,320,3400,2000,174000,800,3300,500,103,46,65,475,5,410,10,20,Inclusion Free
70,4300,24,350,4200,2000,171900,500,3200,400,95,48,71,372,6,390,10,20,Inclusion Free
84,3500,20,340,4600,1300,113800,900,2250,300,78,43,99,340,5,350,9,40,HOLE
82,4100,25,370,3300,1300,176800,500,1400,500,120,42,44,395,6,420,10,3500,Inclusion Free
80,2900,10,350,5200,800,112800,900,2900,300,76,25,50,335,1,300,8,40,Spinel Inclusion
100,3200,20,290,3500,1800,181700,600,1500,500,102,39,46,280,6,540,8,3500,Spinel Inclusion
72,3000,17,310,3000,2000,173600,400,3300,400,110,47,85,248,5,380,12,30,Inclusion Free
73,3400,14,340,4500,2000,171900,600,3100,400,105,48,58,377,5,370,10,20,SLIVER C-EDGE
90,3000,24,290,3400,1500,182900,600,1400,500,110,47,54,230,3,390,12,3500,SLIVER C-EDGE
82,3400,27,320,4000,1900,171400,500,3400,400,106,46,106,250,5,380,12,20,Inclusion Free
100,2600,20,350,4400,1700,172500,800,3000,500,105,36,85,278,2,360,6,30,Spinel Inclusion
80,4200,20,380,4700,1500,113400,600,2200,300,96,47,62,205,3,320,8,30,Spinel Inclusion
71,2400,20,330,5600,1400,115000,1000,2100,300,72,30,50,154,4,340,7,10,Spinel Inclusion
72,3600,20,310,4200,1400,112400,1400,2500,300,74,38,155,496,5,390,7,20,Inclusion Free
77,3000,26,340,3000,2000,172800,500,3200,400,100,48,74,250,5,400,10,20,Inclusion Free
76,3000,10,350,4600,1200,112900,1100,2400,300,70,64,140,246,5,290,8,20,Spinel Inclusion
95,3500,18,330,4300,1700,171500,1200,3100,400,92,40,81,355,25,540,11,40,Inclusion Free
75,3200,20,370,4300,1100,111800,1300,2100,300,79,26,73,213,3,290,10,40,Spinel Inclusion
78,2800,14,310,4700,1100,113000,700,2500,300,105,40,59,441,2,320,8,30,Spinel Inclusion
100,2600,20,360,3700,1400,172200,600,3200,500,110,35,53,375,3,570,10,20,SLIVER C-BODY
108,3400,20,330,4400,1300,174700,600,3300,500,103,36,49,220,4,540,8,20,Inclusion Free
80,2900,20,330,3400,1900,173100,500,3000,500,122,50,71,315,2,440,7,80,Spinel Inclusion
114,3500,20,350,4800,700,113000,500,2300,300,80,45,60,270,3,270,5,20,Spinel Inclusion
100,2500,20,330,3200,1700,182900,400,1400,500,130,37,41,252,3,470,8,3500,Spinel Inclusion
75,2400,10,330,4300,800,112000,800,2400,300,72,32,54,350,3,230,5,10,HOLE
70,3300,15,320,5400,1500,113100,1100,2200,300,76,44,150,276,6,370,6,30,HOLE
90,3800,21,370,3700,2200,181600,600,1500,500,122,48,89,290,3,480,3,3700,Spinel Inclusion
82,3400,27,320,4000,1900,171400,500,3400,400,106,46,106,250,5,380,12,20,Inclusion Free
77,4100,10,340,5200,1600,113800,1800,2100,400,90,36,99,202,4,350,9,40,SLIVER C-EDGE
96,3400,10,350,3600,1600,172500,300,3300,400,118,55,113,264,1,400,9,200,HOLE
76,3200,20,340,3900,1900,172600,1000,3500,500,102,30,78,500,4,560,10,20,Inclusion Free
75,3300,20,350,4800,1200,115800,900,2300,300,80,25,46,320,2,300,10,40,Spinel Inclusion
68,2900,20,330,5000,1800,113200,1000,2000,300,76,47,86,235,6,270,5,20,HOLE
83,3400,10,320,3400,1500,172800,200,3100,500,130,41,34,260,2,420,7,40,HOLE
87,4500,17,330,3800,1900,171400,600,4000,400,120,60,69,345,3,410,11,120,Inclusion Free
80,2700,10,340,3000,1400,172800,200,3400,500,120,40,34,265,2,420,11,40,SLIVER B-BODY
75,3300,20,350,4800,1200,115800,900,2300,300,80,25,46,320,2,300,10,40,SLIVER B-BODY
94,3800,18,340,3000,1700,173600,300,3100,300,99,40,75,310,16,560,7,20,Inclusion Free
76,3700,20,390,4500,800,112800,400,2300,300,79,43,97,300,3,250,9,50,Spinel Inclusion
75,4500,19,310,4700,1200,113800,800,2400,300,73,33,73,370,4,380,8,40,HOLE
72,3800,14,300,4400,1200,114000,800,2100,300,73,40,61,315,6,350,8,30,Spinel Inclusion
69,3200,20,300,4400,1700,112800,1100,2400,300,80,40,71,480,4,270,10,30,SLIVER C-BODY
80,2500,13,330,7000,1600,113000,800,2300,300,78,50,70,185,2,300,10,20,SLIVER C-BODY
80,3200,20,340,3900,1900,172600,1000,3500,500,102,30,78,500,4,560,10,20,Inclusion Free
75,3000,28,320,2900,2000,172200,800,3050,400,98,51,90,320,3,440,10,20,Inclusion Free
80,2800,30,340,3800,1400,172100,900,3400,500,101,36,61,328,4,570,10,30,Inclusion Free
95,3300,28,350,2800,1500,173400,400,3200,500,125,43,45,440,6,430,9,20,Spinel Inclusion
70,3100,18,340,4600,1400,114000,800,2400,300,75,50,60,220,5,280,10,30,SLIVER C-BODY
75,3800,20,320,4600,1000,114800,700,2450,300,85,38,54,395,3,420,8,20,SLIVER C-BODY
94,3000,20,320,3800,1300,172700,600,3500,500,101,34,49,440,6,550,7,20,Inclusion Free
100,2500,20,330,3200,1700,182900,400,1400,500,130,37,41,252,3,470,8,3500,Spinel Inclusion
75,3500,20,340,5700,2400,112600,1300,2100,300,72,51,90,220,3,320,9,40,Spinel Inclusion
63,2800,24,320,3600,2500,176800,1700,1400,500,104,46,91,310,4,450,12,3600,Inclusion Free
87,3500,20,320,5000,1300,113500,800,2350,300,80,32,96,250,5,430,8,40,Spinel Inclusion
80,2600,20,340,3100,2000,172800,800,3300,500,124,48,96,280,3,440,7,60,Spinel Inclusion
70,3300,26,320,3300,1700,172400,500,3300,400,118,43,51,360,5,420,8,20,Inclusion Free
75,3600,28,340,3700,1700,183000,500,1300,500,112,39,43,245,6,470,10,3600,HOLE
63,3300,20,340,4700,1400,115000,1400,2300,300,68,42,68,360,6,460,10,20,Spinel Inclusion
66,4200,16,280,5000,1400,114000,500,2400,300,70,43,46,380,10,280,10,20,Spinel Inclusion
65,3600,20,330,4600,800,112200,300,2100,300,79,51,45,180,3,250,11,50,SLIVER C-BODY
80,3100,20,320,5200,1900,112800,1100,2200,300,86,55,80,380,3,320,12,50,Spinel Inclusion
85,3400,20,330,3300,1600,176400,300,1500,500,119,36,46,275,4,420,7,3500,Spinel Inclusion
